zevenyevenfreqs:, k index, k1, k2, k3, kmag/2pi, zevenyeven band 1
zevenyevenfreqs:, 1, 0, 0, 0, 0, 0.10022
zevenyevenfreqs:, 2, 0.0294118, 0, 0, 0.0294118, 0.104129
zevenyevenfreqs:, 3, 0.0588235, 0, 0, 0.0588235, 0.115009
zevenyevenfreqs:, 4, 0.0882353, 0, 0, 0.0882353, 0.130971
zevenyevenfreqs:, 5, 0.117647, 0, 0, 0.117647, 0.150074
zevenyevenfreqs:, 6, 0.147059, 0, 0, 0.147059, 0.170592
zevenyevenfreqs:, 7, 0.176471, 0, 0, 0.176471, 0.190604
zevenyevenfreqs:, 8, 0.205882, 0, 0, 0.205882, 0.207382
zevenyevenfreqs:, 9, 0.235294, 0, 0, 0.235294, 0.218775
zevenyevenfreqs:, 10, 0.264706, 0, 0, 0.264706, 0.225758
zevenyevenfreqs:, 11, 0.294118, 0, 0, 0.294118, 0.230287
zevenyevenfreqs:, 12, 0.323529, 0, 0, 0.323529, 0.233486
zevenyevenfreqs:, 13, 0.352941, 0, 0, 0.352941, 0.235872
zevenyevenfreqs:, 14, 0.382353, 0, 0, 0.382353, 0.237682
zevenyevenfreqs:, 15, 0.411765, 0, 0, 0.411765, 0.239031
zevenyevenfreqs:, 16, 0.441176, 0, 0, 0.441176, 0.239973
zevenyevenfreqs:, 17, 0.470588, 0, 0, 0.470588, 0.240532
zevenyevenfreqs:, 18, 0.5, 0, 0, 0.5, 0.240718
