zoddyevenfreqs:, k index, k1, k2, k3, kmag/2pi, zoddyeven band 1
zoddyevenfreqs:, 1, 0, 0, 0, 0, 0
zoddyevenfreqs:, 2, 0.0294118, 0, 0, 0.0294118, 0.0286111
zoddyevenfreqs:, 3, 0.0588235, 0, 0, 0.0588235, 0.0570356
zoddyevenfreqs:, 4, 0.0882353, 0, 0, 0.0882353, 0.0849122
zoddyevenfreqs:, 5, 0.117647, 0, 0, 0.117647, 0.111155
zoddyevenfreqs:, 6, 0.147059, 0, 0, 0.147059, 0.132215
zoddyevenfreqs:, 7, 0.176471, 0, 0, 0.176471, 0.144538
zoddyevenfreqs:, 8, 0.205882, 0, 0, 0.205882, 0.151901
zoddyevenfreqs:, 9, 0.235294, 0, 0, 0.235294, 0.157513
zoddyevenfreqs:, 10, 0.264706, 0, 0, 0.264706, 0.162445
zoddyevenfreqs:, 11, 0.294118, 0, 0, 0.294118, 0.16708
zoddyevenfreqs:, 12, 0.323529, 0, 0, 0.323529, 0.17157
zoddyevenfreqs:, 13, 0.352941, 0, 0, 0.352941, 0.175953
zoddyevenfreqs:, 14, 0.382353, 0, 0, 0.382353, 0.18019
zoddyevenfreqs:, 15, 0.411765, 0, 0, 0.411765, 0.184159
zoddyevenfreqs:, 16, 0.441176, 0, 0, 0.441176, 0.18761
zoddyevenfreqs:, 17, 0.470588, 0, 0, 0.470588, 0.190097
zoddyevenfreqs:, 18, 0.5, 0, 0, 0.5, 0.191034
