zoddyoddfreqs:, k index, k1, k2, k3, kmag/2pi, zoddyodd band 1
zoddyoddfreqs:, 1, 0, 0, 0, 0, 0.112901
zoddyoddfreqs:, 2, 0.0294118, 0, 0, 0.0294118, 0.115085
zoddyoddfreqs:, 3, 0.0588235, 0, 0, 0.0588235, 0.12066
zoddyoddfreqs:, 4, 0.0882353, 0, 0, 0.0882353, 0.127461
zoddyoddfreqs:, 5, 0.117647, 0, 0, 0.117647, 0.13395
zoddyoddfreqs:, 6, 0.147059, 0, 0, 0.147059, 0.139877
zoddyoddfreqs:, 7, 0.176471, 0, 0, 0.176471, 0.145457
zoddyoddfreqs:, 8, 0.205882, 0, 0, 0.205882, 0.15087
zoddyoddfreqs:, 9, 0.235294, 0, 0, 0.235294, 0.15621
zoddyoddfreqs:, 10, 0.264706, 0, 0, 0.264706, 0.161512
zoddyoddfreqs:, 11, 0.294118, 0, 0, 0.294118, 0.166776
zoddyoddfreqs:, 12, 0.323529, 0, 0, 0.323529, 0.171972
zoddyoddfreqs:, 13, 0.352941, 0, 0, 0.352941, 0.177043
zoddyoddfreqs:, 14, 0.382353, 0, 0, 0.382353, 0.181885
zoddyoddfreqs:, 15, 0.411765, 0, 0, 0.411765, 0.186324
zoddyoddfreqs:, 16, 0.441176, 0, 0, 0.441176, 0.190068
zoddyoddfreqs:, 17, 0.470588, 0, 0, 0.470588, 0.192673
zoddyoddfreqs:, 18, 0.5, 0, 0, 0.5, 0.193625
