zevenyevenfreqs:, k index, k1, k2, k3, kmag/2pi, zevenyeven band 1
zevenyevenfreqs:, 1, 0, 0, 0, 0, 0.10022
zevenyevenfreqs:, 2, 0.02, 0, 0, 0.02, 0.102047
zevenyevenfreqs:, 3, 0.04, 0, 0, 0.04, 0.107331
zevenyevenfreqs:, 4, 0.06, 0, 0, 0.06, 0.115563
zevenyevenfreqs:, 5, 0.08, 0, 0, 0.08, 0.126106
zevenyevenfreqs:, 6, 0.1, 0, 0, 0.1, 0.138335
zevenyevenfreqs:, 7, 0.12, 0, 0, 0.12, 0.151685
zevenyevenfreqs:, 8, 0.14, 0, 0, 0.14, 0.165631
zevenyevenfreqs:, 9, 0.16, 0, 0, 0.16, 0.1796
zevenyevenfreqs:, 10, 0.18, 0, 0, 0.18, 0.19285
zevenyevenfreqs:, 11, 0.2, 0, 0, 0.2, 0.204428
zevenyevenfreqs:, 12, 0.22, 0, 0, 0.22, 0.213531
zevenyevenfreqs:, 13, 0.24, 0, 0, 0.24, 0.220131
zevenyevenfreqs:, 14, 0.26, 0, 0, 0.26, 0.224848
zevenyevenfreqs:, 15, 0.28, 0, 0, 0.28, 0.228329
zevenyevenfreqs:, 16, 0.3, 0, 0, 0.3, 0.231011
zevenyevenfreqs:, 17, 0.32, 0, 0, 0.32, 0.233153
zevenyevenfreqs:, 18, 0.34, 0, 0, 0.34, 0.234904
zevenyevenfreqs:, 19, 0.36, 0, 0, 0.36, 0.236353
zevenyevenfreqs:, 20, 0.38, 0, 0, 0.38, 0.237556
zevenyevenfreqs:, 21, 0.4, 0, 0, 0.4, 0.238543
zevenyevenfreqs:, 22, 0.42, 0, 0, 0.42, 0.239335
zevenyevenfreqs:, 23, 0.44, 0, 0, 0.44, 0.239943
zevenyevenfreqs:, 24, 0.46, 0, 0, 0.46, 0.240374
zevenyevenfreqs:, 25, 0.48, 0, 0, 0.48, 0.240632
zevenyevenfreqs:, 26, 0.5, 0, 0, 0.5, 0.240718
