zoddyoddfreqs:, k index, k1, k2, k3, kmag/2pi, zoddyodd band 1
zoddyoddfreqs:, 1, 0, 0, 0, 0, 0.112901
zoddyoddfreqs:, 2, 0.02, 0, 0, 0.02, 0.113933
zoddyoddfreqs:, 3, 0.04, 0, 0, 0.04, 0.116805
zoddyoddfreqs:, 4, 0.06, 0, 0, 0.06, 0.120923
zoddyoddfreqs:, 5, 0.08, 0, 0, 0.08, 0.125549
zoddyoddfreqs:, 6, 0.1, 0, 0, 0.1, 0.130129
zoddyoddfreqs:, 7, 0.12, 0, 0, 0.12, 0.134443
zoddyoddfreqs:, 8, 0.14, 0, 0, 0.14, 0.138495
zoddyoddfreqs:, 9, 0.16, 0, 0, 0.16, 0.142362
zoddyoddfreqs:, 10, 0.18, 0, 0, 0.18, 0.146113
zoddyoddfreqs:, 11, 0.2, 0, 0, 0.2, 0.149795
zoddyoddfreqs:, 12, 0.22, 0, 0, 0.22, 0.153439
zoddyoddfreqs:, 13, 0.24, 0, 0, 0.24, 0.157061
zoddyoddfreqs:, 14, 0.26, 0, 0, 0.26, 0.160666
zoddyoddfreqs:, 15, 0.28, 0, 0, 0.28, 0.164255
zoddyoddfreqs:, 16, 0.3, 0, 0, 0.3, 0.167822
zoddyoddfreqs:, 17, 0.32, 0, 0, 0.32, 0.171354
zoddyoddfreqs:, 18, 0.34, 0, 0, 0.34, 0.174833
zoddyoddfreqs:, 19, 0.36, 0, 0, 0.36, 0.178231
zoddyoddfreqs:, 20, 0.38, 0, 0, 0.38, 0.181509
zoddyoddfreqs:, 21, 0.4, 0, 0, 0.4, 0.184612
zoddyoddfreqs:, 22, 0.42, 0, 0, 0.42, 0.187458
zoddyoddfreqs:, 23, 0.44, 0, 0, 0.44, 0.189937
zoddyoddfreqs:, 24, 0.46, 0, 0, 0.46, 0.1919
zoddyoddfreqs:, 25, 0.48, 0, 0, 0.48, 0.193178
zoddyoddfreqs:, 26, 0.5, 0, 0, 0.5, 0.193625
