zevenyoddfreqs:, k index, k1, k2, k3, kmag/2pi, zevenyodd band 1
zevenyoddfreqs:, 1, 0, 0, 0, 0, 0
zevenyoddfreqs:, 2, 0.0102041, 0, 0, 0.0102041, 0.00993459
zevenyoddfreqs:, 3, 0.0204082, 0, 0, 0.0204082, 0.0198625
zevenyoddfreqs:, 4, 0.0306122, 0, 0, 0.0306122, 0.0297766
zevenyoddfreqs:, 5, 0.0408163, 0, 0, 0.0408163, 0.0396683
zevenyoddfreqs:, 6, 0.0510204, 0, 0, 0.0510204, 0.0495272
zevenyoddfreqs:, 7, 0.0612245, 0, 0, 0.0612245, 0.0593393
zevenyoddfreqs:, 8, 0.0714286, 0, 0, 0.0714286, 0.0690852
zevenyoddfreqs:, 9, 0.0816327, 0, 0, 0.0816327, 0.0787367
zevenyoddfreqs:, 10, 0.0918367, 0, 0, 0.0918367, 0.0882514
zevenyoddfreqs:, 11, 0.102041, 0, 0, 0.102041, 0.0975631
zevenyoddfreqs:, 12, 0.112245, 0, 0, 0.112245, 0.106567
zevenyoddfreqs:, 13, 0.122449, 0, 0, 0.122449, 0.115097
zevenyoddfreqs:, 14, 0.132653, 0, 0, 0.132653, 0.122914
zevenyoddfreqs:, 15, 0.142857, 0, 0, 0.142857, 0.12974
zevenyoddfreqs:, 16, 0.153061, 0, 0, 0.153061, 0.135398
zevenyoddfreqs:, 17, 0.163265, 0, 0, 0.163265, 0.139938
zevenyoddfreqs:, 18, 0.173469, 0, 0, 0.173469, 0.143592
zevenyoddfreqs:, 19, 0.183673, 0, 0, 0.183673, 0.146618
zevenyoddfreqs:, 20, 0.193878, 0, 0, 0.193878, 0.149214
zevenyoddfreqs:, 21, 0.204082, 0, 0, 0.204082, 0.151516
zevenyoddfreqs:, 22, 0.214286, 0, 0, 0.214286, 0.153612
zevenyoddfreqs:, 23, 0.22449, 0, 0, 0.22449, 0.155562
zevenyoddfreqs:, 24, 0.234694, 0, 0, 0.234694, 0.157405
zevenyoddfreqs:, 25, 0.244898, 0, 0, 0.244898, 0.15917
zevenyoddfreqs:, 26, 0.255102, 0, 0, 0.255102, 0.160877
zevenyoddfreqs:, 27, 0.265306, 0, 0, 0.265306, 0.162539
zevenyoddfreqs:, 28, 0.27551, 0, 0, 0.27551, 0.164169
zevenyoddfreqs:, 29, 0.285714, 0, 0, 0.285714, 0.165772
zevenyoddfreqs:, 30, 0.295918, 0, 0, 0.295918, 0.167356
zevenyoddfreqs:, 31, 0.306122, 0, 0, 0.306122, 0.168924
zevenyoddfreqs:, 32, 0.316327, 0, 0, 0.316327, 0.170478
zevenyoddfreqs:, 33, 0.326531, 0, 0, 0.326531, 0.17202
zevenyoddfreqs:, 34, 0.336735, 0, 0, 0.336735, 0.173549
zevenyoddfreqs:, 35, 0.346939, 0, 0, 0.346939, 0.175065
zevenyoddfreqs:, 36, 0.357143, 0, 0, 0.357143, 0.176566
zevenyoddfreqs:, 37, 0.367347, 0, 0, 0.367347, 0.178049
zevenyoddfreqs:, 38, 0.377551, 0, 0, 0.377551, 0.179509
zevenyoddfreqs:, 39, 0.387755, 0, 0, 0.387755, 0.180942
zevenyoddfreqs:, 40, 0.397959, 0, 0, 0.397959, 0.182339
zevenyoddfreqs:, 41, 0.408163, 0, 0, 0.408163, 0.183692
zevenyoddfreqs:, 42, 0.418367, 0, 0, 0.418367, 0.184989
zevenyoddfreqs:, 43, 0.428571, 0, 0, 0.428571, 0.186215
zevenyoddfreqs:, 44, 0.438776, 0, 0, 0.438776, 0.187354
zevenyoddfreqs:, 45, 0.44898, 0, 0, 0.44898, 0.188384
zevenyoddfreqs:, 46, 0.459184, 0, 0, 0.459184, 0.189282
zevenyoddfreqs:, 47, 0.469388, 0, 0, 0.469388, 0.19002
zevenyoddfreqs:, 48, 0.479592, 0, 0, 0.479592, 0.190572
zevenyoddfreqs:, 49, 0.489796, 0, 0, 0.489796, 0.190915
zevenyoddfreqs:, 50, 0.5, 0, 0, 0.5, 0.191031
