zoddyevenfreqs:, k index, k1, k2, k3, kmag/2pi, zoddyeven band 1
zoddyevenfreqs:, 1, 0, 0, 0, 0, 0
zoddyevenfreqs:, 2, 0.0102041, 0, 0, 0.0102041, 0.00993456
zoddyevenfreqs:, 3, 0.0204082, 0, 0, 0.0204082, 0.0198625
zoddyevenfreqs:, 4, 0.0306122, 0, 0, 0.0306122, 0.0297765
zoddyevenfreqs:, 5, 0.0408163, 0, 0, 0.0408163, 0.0396682
zoddyevenfreqs:, 6, 0.0510204, 0, 0, 0.0510204, 0.0495271
zoddyevenfreqs:, 7, 0.0612245, 0, 0, 0.0612245, 0.0593392
zoddyevenfreqs:, 8, 0.0714286, 0, 0, 0.0714286, 0.069085
zoddyevenfreqs:, 9, 0.0816327, 0, 0, 0.0816327, 0.0787365
zoddyevenfreqs:, 10, 0.0918367, 0, 0, 0.0918367, 0.0882512
zoddyevenfreqs:, 11, 0.102041, 0, 0, 0.102041, 0.0975629
zoddyevenfreqs:, 12, 0.112245, 0, 0, 0.112245, 0.106567
zoddyevenfreqs:, 13, 0.122449, 0, 0, 0.122449, 0.115097
zoddyevenfreqs:, 14, 0.132653, 0, 0, 0.132653, 0.122914
zoddyevenfreqs:, 15, 0.142857, 0, 0, 0.142857, 0.129741
zoddyevenfreqs:, 16, 0.153061, 0, 0, 0.153061, 0.135399
zoddyevenfreqs:, 17, 0.163265, 0, 0, 0.163265, 0.139939
zoddyevenfreqs:, 18, 0.173469, 0, 0, 0.173469, 0.143593
zoddyevenfreqs:, 19, 0.183673, 0, 0, 0.183673, 0.146619
zoddyevenfreqs:, 20, 0.193878, 0, 0, 0.193878, 0.149216
zoddyevenfreqs:, 21, 0.204082, 0, 0, 0.204082, 0.151518
zoddyevenfreqs:, 22, 0.214286, 0, 0, 0.214286, 0.153614
zoddyevenfreqs:, 23, 0.22449, 0, 0, 0.22449, 0.155564
zoddyevenfreqs:, 24, 0.234694, 0, 0, 0.234694, 0.157408
zoddyevenfreqs:, 25, 0.244898, 0, 0, 0.244898, 0.159172
zoddyevenfreqs:, 26, 0.255102, 0, 0, 0.255102, 0.160879
zoddyevenfreqs:, 27, 0.265306, 0, 0, 0.265306, 0.162542
zoddyevenfreqs:, 28, 0.27551, 0, 0, 0.27551, 0.164171
zoddyevenfreqs:, 29, 0.285714, 0, 0, 0.285714, 0.165775
zoddyevenfreqs:, 30, 0.295918, 0, 0, 0.295918, 0.167359
zoddyevenfreqs:, 31, 0.306122, 0, 0, 0.306122, 0.168926
zoddyevenfreqs:, 32, 0.316327, 0, 0, 0.316327, 0.170481
zoddyevenfreqs:, 33, 0.326531, 0, 0, 0.326531, 0.172022
zoddyevenfreqs:, 34, 0.336735, 0, 0, 0.336735, 0.173551
zoddyevenfreqs:, 35, 0.346939, 0, 0, 0.346939, 0.175068
zoddyevenfreqs:, 36, 0.357143, 0, 0, 0.357143, 0.176569
zoddyevenfreqs:, 37, 0.367347, 0, 0, 0.367347, 0.178051
zoddyevenfreqs:, 38, 0.377551, 0, 0, 0.377551, 0.179512
zoddyevenfreqs:, 39, 0.387755, 0, 0, 0.387755, 0.180944
zoddyevenfreqs:, 40, 0.397959, 0, 0, 0.397959, 0.182342
zoddyevenfreqs:, 41, 0.408163, 0, 0, 0.408163, 0.183695
zoddyevenfreqs:, 42, 0.418367, 0, 0, 0.418367, 0.184991
zoddyevenfreqs:, 43, 0.428571, 0, 0, 0.428571, 0.186218
zoddyevenfreqs:, 44, 0.438776, 0, 0, 0.438776, 0.187357
zoddyevenfreqs:, 45, 0.44898, 0, 0, 0.44898, 0.188387
zoddyevenfreqs:, 46, 0.459184, 0, 0, 0.459184, 0.189284
zoddyevenfreqs:, 47, 0.469388, 0, 0, 0.469388, 0.190022
zoddyevenfreqs:, 48, 0.479592, 0, 0, 0.479592, 0.190574
zoddyevenfreqs:, 49, 0.489796, 0, 0, 0.489796, 0.190917
zoddyevenfreqs:, 50, 0.5, 0, 0, 0.5, 0.191034
