zevenyevenfreqs:, k index, k1, k2, k3, kmag/2pi, zevenyeven band 1, zevenyeven band 2
zevenyevenfreqs:, 1, 0, 0, 0, 0, 0.231901, 0.249953
zevenyevenfreqs:, 2, 0.0384615, 0, 0, 0.0384615, 0.235004, 0.252884
zevenyevenfreqs:, 3, 0.0769231, 0, 0, 0.0769231, 0.244073, 0.261479
zevenyevenfreqs:, 4, 0.115385, 0, 0, 0.115385, 0.258466, 0.275207
zevenyevenfreqs:, 5, 0.153846, 0, 0, 0.153846, 0.277329, 0.293345
zevenyevenfreqs:, 6, 0.192308, 0, 0, 0.192308, 0.299775, 0.315126
zevenyevenfreqs:, 7, 0.230769, 0, 0, 0.230769, 0.32499, 0.339843
zevenyevenfreqs:, 8, 0.269231, 0, 0, 0.269231, 0.352248, 0.366888
zevenyevenfreqs:, 9, 0.307692, 0, 0, 0.307692, 0.38084, 0.395756
zevenyevenfreqs:, 10, 0.346154, 0, 0, 0.346154, 0.409836, 0.426006
zevenyevenfreqs:, 11, 0.384615, 0, 0, 0.384615, 0.437202, 0.457121
zevenyevenfreqs:, 12, 0.423077, 0, 0, 0.423077, 0.4577, 0.48679
zevenyevenfreqs:, 13, 0.461538, 0, 0, 0.461538, 0.467275, 0.497409
zevenyevenfreqs:, 14, 0.5, 0, 0, 0.5, 0.469729, 0.49825
