zevenyoddfreqs:, k index, k1, k2, k3, kmag/2pi, zevenyodd band 1, zevenyodd band 2
zevenyoddfreqs:, 1, 0, 0, 0, 0, 0, 0.243322
zevenyoddfreqs:, 2, 0.0384615, 0, 0, 0.0384615, 0.0379613, 0.24572
zevenyoddfreqs:, 3, 0.0769231, 0, 0, 0.0769231, 0.075893, 0.252806
zevenyoddfreqs:, 4, 0.115385, 0, 0, 0.115385, 0.113759, 0.26407
zevenyoddfreqs:, 5, 0.153846, 0, 0, 0.153846, 0.151504, 0.278538
zevenyoddfreqs:, 6, 0.192308, 0, 0, 0.192308, 0.189031, 0.294815
zevenyoddfreqs:, 7, 0.230769, 0, 0, 0.230769, 0.226141, 0.311061
zevenyoddfreqs:, 8, 0.269231, 0, 0, 0.269231, 0.262312, 0.325442
zevenyoddfreqs:, 9, 0.307692, 0, 0, 0.307692, 0.295787, 0.338308
zevenyoddfreqs:, 10, 0.346154, 0, 0, 0.346154, 0.320398, 0.35595
zevenyoddfreqs:, 11, 0.384615, 0, 0, 0.384615, 0.331484, 0.382672
zevenyoddfreqs:, 12, 0.423077, 0, 0, 0.423077, 0.336037, 0.406471
zevenyoddfreqs:, 13, 0.461538, 0, 0, 0.461538, 0.33808, 0.417311
zevenyoddfreqs:, 14, 0.5, 0, 0, 0.5, 0.338683, 0.419934
