zoddyevenfreqs:, k index, k1, k2, k3, kmag/2pi, zoddyeven band 1, zoddyeven band 2
zoddyevenfreqs:, 1, 0, 0, 0, 0, 0, 0.243287
zoddyevenfreqs:, 2, 0.0384615, 0, 0, 0.0384615, 0.0379591, 0.245685
zoddyevenfreqs:, 3, 0.0769231, 0, 0, 0.0769231, 0.0758886, 0.252769
zoddyevenfreqs:, 4, 0.115385, 0, 0, 0.115385, 0.113752, 0.264032
zoddyevenfreqs:, 5, 0.153846, 0, 0, 0.153846, 0.151494, 0.2785
zoddyevenfreqs:, 6, 0.192308, 0, 0, 0.192308, 0.189018, 0.294787
zoddyevenfreqs:, 7, 0.230769, 0, 0, 0.230769, 0.226124, 0.311064
zoddyevenfreqs:, 8, 0.269231, 0, 0, 0.269231, 0.262293, 0.325506
zoddyevenfreqs:, 9, 0.307692, 0, 0, 0.307692, 0.295778, 0.33843
zoddyevenfreqs:, 10, 0.346154, 0, 0, 0.346154, 0.320472, 0.356039
zoddyevenfreqs:, 11, 0.384615, 0, 0, 0.384615, 0.331662, 0.38267
zoddyevenfreqs:, 12, 0.423077, 0, 0, 0.423077, 0.336267, 0.40639
zoddyevenfreqs:, 13, 0.461538, 0, 0, 0.461538, 0.338334, 0.417208
zoddyevenfreqs:, 14, 0.5, 0, 0, 0.5, 0.338945, 0.419832
