zoddyoddfreqs:, k index, k1, k2, k3, kmag/2pi, zoddyodd band 1, zoddyodd band 2
zoddyoddfreqs:, 1, 0, 0, 0, 0, 0.24547, 0.249635
zoddyoddfreqs:, 2, 0.0384615, 0, 0, 0.0384615, 0.248259, 0.252571
zoddyoddfreqs:, 3, 0.0769231, 0, 0, 0.0769231, 0.256393, 0.261179
zoddyoddfreqs:, 4, 0.115385, 0, 0, 0.115385, 0.269202, 0.274926
zoddyoddfreqs:, 5, 0.153846, 0, 0, 0.153846, 0.285618, 0.293087
zoddyoddfreqs:, 6, 0.192308, 0, 0, 0.192308, 0.30401, 0.314894
zoddyoddfreqs:, 7, 0.230769, 0, 0, 0.230769, 0.321621, 0.33964
zoddyoddfreqs:, 8, 0.269231, 0, 0, 0.269231, 0.334997, 0.366717
zoddyoddfreqs:, 9, 0.307692, 0, 0, 0.307692, 0.343518, 0.395624
zoddyoddfreqs:, 10, 0.346154, 0, 0, 0.346154, 0.348993, 0.425932
zoddyoddfreqs:, 11, 0.384615, 0, 0, 0.384615, 0.352684, 0.457159
zoddyoddfreqs:, 12, 0.423077, 0, 0, 0.423077, 0.35513, 0.483917
zoddyoddfreqs:, 13, 0.461538, 0, 0, 0.461538, 0.356545, 0.488122
zoddyoddfreqs:, 14, 0.5, 0, 0, 0.5, 0.357009, 0.488496
