zevenyevenfreqs:, k index, k1, k2, k3, kmag/2pi, zevenyeven band 1, zevenyeven band 2
zevenyevenfreqs:, 1, 0, 0, 0, 0, 0.165606, 0.249231
zevenyevenfreqs:, 2, 0.0384615, 0, 0, 0.0384615, 0.169174, 0.252082
zevenyevenfreqs:, 3, 0.0769231, 0, 0, 0.0769231, 0.179372, 0.260426
zevenyevenfreqs:, 4, 0.115385, 0, 0, 0.115385, 0.194922, 0.273682
zevenyevenfreqs:, 5, 0.153846, 0, 0, 0.153846, 0.214246, 0.290983
zevenyevenfreqs:, 6, 0.192308, 0, 0, 0.192308, 0.235775, 0.311061
zevenyevenfreqs:, 7, 0.230769, 0, 0, 0.230769, 0.258013, 0.330962
zevenyevenfreqs:, 8, 0.269231, 0, 0, 0.269231, 0.279487, 0.342692
zevenyevenfreqs:, 9, 0.307692, 0, 0, 0.307692, 0.298776, 0.346045
zevenyevenfreqs:, 10, 0.346154, 0, 0, 0.346154, 0.314784, 0.347069
zevenyevenfreqs:, 11, 0.384615, 0, 0, 0.384615, 0.327055, 0.347459
zevenyevenfreqs:, 12, 0.423077, 0, 0, 0.423077, 0.335692, 0.347623
zevenyevenfreqs:, 13, 0.461538, 0, 0, 0.461538, 0.340887, 0.347692
zevenyevenfreqs:, 14, 0.5, 0, 0, 0.5, 0.342636, 0.347713
