zevenyoddfreqs:, k index, k1, k2, k3, kmag/2pi, zevenyodd band 1, zevenyodd band 2
zevenyoddfreqs:, 1, 0, 0, 0, 0, 0, 0.22577
zevenyoddfreqs:, 2, 0.0384615, 0, 0, 0.0384615, 0.0371794, 0.225126
zevenyoddfreqs:, 3, 0.0769231, 0, 0, 0.0769231, 0.0741951, 0.225755
zevenyoddfreqs:, 4, 0.115385, 0, 0, 0.115385, 0.110797, 0.228326
zevenyoddfreqs:, 5, 0.153846, 0, 0, 0.153846, 0.146449, 0.232529
zevenyoddfreqs:, 6, 0.192308, 0, 0, 0.192308, 0.179668, 0.239099
zevenyoddfreqs:, 7, 0.230769, 0, 0, 0.230769, 0.206093, 0.251763
zevenyoddfreqs:, 8, 0.269231, 0, 0, 0.269231, 0.220619, 0.274318
zevenyoddfreqs:, 9, 0.307692, 0, 0, 0.307692, 0.22731, 0.29653
zevenyoddfreqs:, 10, 0.346154, 0, 0, 0.346154, 0.23103, 0.304195
zevenyoddfreqs:, 11, 0.384615, 0, 0, 0.384615, 0.233429, 0.305205
zevenyoddfreqs:, 12, 0.423077, 0, 0, 0.423077, 0.235009, 0.304922
zevenyoddfreqs:, 13, 0.461538, 0, 0, 0.461538, 0.235927, 0.304521
zevenyoddfreqs:, 14, 0.5, 0, 0, 0.5, 0.236232, 0.304354
