zoddyevenfreqs:, k index, k1, k2, k3, kmag/2pi, zoddyeven band 1, zoddyeven band 2
zoddyevenfreqs:, 1, 0, 0, 0, 0, 0, 0.225803
zoddyevenfreqs:, 2, 0.0384615, 0, 0, 0.0384615, 0.0371767, 0.225148
zoddyevenfreqs:, 3, 0.0769231, 0, 0, 0.0769231, 0.0741897, 0.22578
zoddyevenfreqs:, 4, 0.115385, 0, 0, 0.115385, 0.110788, 0.228365
zoddyevenfreqs:, 5, 0.153846, 0, 0, 0.153846, 0.146438, 0.232587
zoddyevenfreqs:, 6, 0.192308, 0, 0, 0.192308, 0.179659, 0.239174
zoddyevenfreqs:, 7, 0.230769, 0, 0, 0.230769, 0.20611, 0.251832
zoddyevenfreqs:, 8, 0.269231, 0, 0, 0.269231, 0.220688, 0.274357
zoddyevenfreqs:, 9, 0.307692, 0, 0, 0.307692, 0.227418, 0.296588
zoddyevenfreqs:, 10, 0.346154, 0, 0, 0.346154, 0.231165, 0.30431
zoddyevenfreqs:, 11, 0.384615, 0, 0, 0.384615, 0.233584, 0.305338
zoddyevenfreqs:, 12, 0.423077, 0, 0, 0.423077, 0.235176, 0.30506
zoddyevenfreqs:, 13, 0.461538, 0, 0, 0.461538, 0.236103, 0.30466
zoddyevenfreqs:, 14, 0.5, 0, 0, 0.5, 0.236411, 0.304494
