zoddyoddfreqs:, k index, k1, k2, k3, kmag/2pi, zoddyodd band 1, zoddyodd band 2
zoddyoddfreqs:, 1, 0, 0, 0, 0, 0.207868, 0.247947
zoddyoddfreqs:, 2, 0.0384615, 0, 0, 0.0384615, 0.209233, 0.250837
zoddyoddfreqs:, 3, 0.0769231, 0, 0, 0.0769231, 0.213023, 0.259301
zoddyoddfreqs:, 4, 0.115385, 0, 0, 0.115385, 0.218477, 0.272768
zoddyoddfreqs:, 5, 0.153846, 0, 0, 0.153846, 0.22474, 0.290412
zoddyoddfreqs:, 6, 0.192308, 0, 0, 0.192308, 0.231177, 0.311106
zoddyoddfreqs:, 7, 0.230769, 0, 0, 0.230769, 0.237444, 0.332129
zoddyoddfreqs:, 8, 0.269231, 0, 0, 0.269231, 0.243385, 0.343444
zoddyoddfreqs:, 9, 0.307692, 0, 0, 0.307692, 0.248908, 0.343953
zoddyoddfreqs:, 10, 0.346154, 0, 0, 0.346154, 0.253909, 0.339147
zoddyoddfreqs:, 11, 0.384615, 0, 0, 0.384615, 0.258226, 0.334876
zoddyoddfreqs:, 12, 0.423077, 0, 0, 0.423077, 0.261631, 0.331461
zoddyoddfreqs:, 13, 0.461538, 0, 0, 0.461538, 0.263844, 0.329228
zoddyoddfreqs:, 14, 0.5, 0, 0, 0.5, 0.264616, 0.328446
