tmyevenfreqs:, k index, k1, k2, k3, kmag/2pi, tmyeven band 1
tmyevenfreqs:, 1, 0, 0, 0, 0, 0
tmyevenfreqs:, 2, 0.0769231, 0, 0, 0.0769231, 0.0510756
tmyevenfreqs:, 3, 0.153846, 0, 0, 0.153846, 0.0932693
tmyevenfreqs:, 4, 0.230769, 0, 0, 0.230769, 0.125782
tmyevenfreqs:, 5, 0.307692, 0, 0, 0.307692, 0.153064
tmyevenfreqs:, 6, 0.384615, 0, 0, 0.384615, 0.177967
tmyevenfreqs:, 7, 0.461538, 0, 0, 0.461538, 0.201625
tmyevenfreqs:, 8, 0.538462, 0, 0, 0.538462, 0.224521
tmyevenfreqs:, 9, 0.615385, 0, 0, 0.615385, 0.246908
tmyevenfreqs:, 10, 0.692308, 0, 0, 0.692308, 0.26894
tmyevenfreqs:, 11, 0.769231, 0, 0, 0.769231, 0.290718
tmyevenfreqs:, 12, 0.846154, 0, 0, 0.846154, 0.312314
tmyevenfreqs:, 13, 0.923077, 0, 0, 0.923077, 0.33378
tmyevenfreqs:, 14, 1, 0, 0, 1, 0.355151
