tmyoddfreqs:, k index, k1, k2, k3, kmag/2pi, tmyodd band 1
tmyoddfreqs:, 1, 0, 0, 0, 0, 0.237159
tmyoddfreqs:, 2, 0.0769231, 0, 0, 0.0769231, 0.247553
tmyoddfreqs:, 3, 0.153846, 0, 0, 0.153846, 0.27559
tmyoddfreqs:, 4, 0.230769, 0, 0, 0.230769, 0.313832
tmyoddfreqs:, 5, 0.307692, 0, 0, 0.307692, 0.353215
tmyoddfreqs:, 6, 0.384615, 0, 0, 0.384615, 0.386286
tmyoddfreqs:, 7, 0.461538, 0, 0, 0.461538, 0.412308
tmyoddfreqs:, 8, 0.538462, 0, 0, 0.538462, 0.434261
tmyoddfreqs:, 9, 0.615385, 0, 0, 0.615385, 0.454234
tmyoddfreqs:, 10, 0.692308, 0, 0, 0.692308, 0.473212
tmyoddfreqs:, 11, 0.769231, 0, 0, 0.769231, 0.491664
tmyoddfreqs:, 12, 0.846154, 0, 0, 0.846154, 0.509832
tmyoddfreqs:, 13, 0.923077, 0, 0, 0.923077, 0.527854
tmyoddfreqs:, 14, 1, 0, 0, 1, 0.545811
