tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.32239, 0.357341, 0.359847
tmfreqs:, 2, 0.111111, 0, 0, 0.111111, 0.0614362, 0.328779, 0.337391, 0.36346
tmfreqs:, 3, 0.222222, 0, 0, 0.222222, 0.11547, 0.297416, 0.380191, 0.381003
tmfreqs:, 4, 0.333333, 0, 0, 0.333333, 0.160163, 0.265552, 0.403768, 0.447837
tmfreqs:, 5, 0.444444, 0, 0, 0.444444, 0.198243, 0.232779, 0.430451, 0.529753
tmfreqs:, 6, 0.555556, 0, 0, 0.555556, 0.198243, 0.232779, 0.457872, 0.619318
tmfreqs:, 7, 0.666667, 0, 0, 0.666667, 0.160163, 0.265552, 0.403768, 0.485048
tmfreqs:, 8, 0.777778, 0, 0, 0.777778, 0.11547, 0.297416, 0.380191, 0.511787
tmfreqs:, 9, 0.888889, 0, 0, 0.888889, 0.0614362, 0.328779, 0.36346, 0.53819
tmfreqs:, 10, 1, 0, 0, 1, 4.69777e-05, 0.32239, 0.357341, 0.359847
