tmyevenfreqs:, k index, k1, k2, k3, kmag/2pi, tmyeven band 1, tmyeven band 2, tmyeven band 3, tmyeven band 4
tmyevenfreqs:, 1, 0, 0, 0, 0, 0, 0.334362, 0.496303, 0.658931
tmyevenfreqs:, 2, 0.0769231, 0, 0, 0.0769231, 0.0552411, 0.339453, 0.492482, 0.663892
tmyevenfreqs:, 3, 0.153846, 0, 0, 0.153846, 0.107745, 0.354376, 0.482865, 0.677448
tmyevenfreqs:, 4, 0.230769, 0, 0, 0.230769, 0.154742, 0.377057, 0.472577, 0.696897
tmyevenfreqs:, 5, 0.307692, 0, 0, 0.307692, 0.19367, 0.398543, 0.47311, 0.719264
tmyevenfreqs:, 6, 0.384615, 0, 0, 0.384615, 0.222253, 0.403671, 0.501143, 0.67008
tmyevenfreqs:, 7, 0.461538, 0, 0, 0.461538, 0.237864, 0.400239, 0.549954, 0.60847
tmyevenfreqs:, 8, 0.538462, 0, 0, 0.538462, 0.237864, 0.400239, 0.549954, 0.60847
tmyevenfreqs:, 9, 0.615385, 0, 0, 0.615385, 0.222253, 0.403671, 0.501143, 0.67008
tmyevenfreqs:, 10, 0.692308, 0, 0, 0.692308, 0.19367, 0.398544, 0.47311, 0.719264
tmyevenfreqs:, 11, 0.769231, 0, 0, 0.769231, 0.154742, 0.377057, 0.472577, 0.696897
tmyevenfreqs:, 12, 0.846154, 0, 0, 0.846154, 0.107745, 0.354376, 0.482866, 0.677448
tmyevenfreqs:, 13, 0.923077, 0, 0, 0.923077, 0.0552411, 0.339453, 0.492484, 0.663892
tmyevenfreqs:, 14, 1, 0, 0, 1, 2.71719e-06, 0.334362, 0.496305, 0.658931
