tmyoddfreqs:, k index, k1, k2, k3, kmag/2pi, tmyodd band 1, tmyodd band 2, tmyodd band 3, tmyodd band 4
tmyoddfreqs:, 1, 0, 0, 0, 0, 0.407852, 0.625913, 0.700387, 0.947372
tmyoddfreqs:, 2, 0.0769231, 0, 0, 0.0769231, 0.411088, 0.627023, 0.700729, 0.948667
tmyoddfreqs:, 3, 0.153846, 0, 0, 0.153846, 0.420115, 0.630009, 0.702423, 0.952188
tmyoddfreqs:, 4, 0.230769, 0, 0, 0.230769, 0.433002, 0.633787, 0.707492, 0.949468
tmyoddfreqs:, 5, 0.307692, 0, 0, 0.307692, 0.44691, 0.636802, 0.718874, 0.898962
tmyoddfreqs:, 6, 0.384615, 0, 0, 0.384615, 0.458633, 0.638204, 0.738901, 0.84973
tmyoddfreqs:, 7, 0.461538, 0, 0, 0.461538, 0.465336, 0.6385, 0.768033, 0.805619
tmyoddfreqs:, 8, 0.538462, 0, 0, 0.538462, 0.465336, 0.6385, 0.768033, 0.805619
tmyoddfreqs:, 9, 0.615385, 0, 0, 0.615385, 0.458633, 0.638204, 0.738901, 0.84973
tmyoddfreqs:, 10, 0.692308, 0, 0, 0.692308, 0.44691, 0.636802, 0.718875, 0.898962
tmyoddfreqs:, 11, 0.769231, 0, 0, 0.769231, 0.433002, 0.633787, 0.707493, 0.949468
tmyoddfreqs:, 12, 0.846154, 0, 0, 0.846154, 0.420115, 0.630009, 0.702426, 0.952189
tmyoddfreqs:, 13, 0.923077, 0, 0, 0.923077, 0.411088, 0.627023, 0.700732, 0.948668
tmyoddfreqs:, 14, 1, 0, 0, 1, 0.407852, 0.625913, 0.700391, 0.947373
