zevenyevenfreqs:, k index, k1, k2, k3, kmag/2pi, zevenyeven band 1, zevenyeven band 2, zevenyeven band 3
zevenyevenfreqs:, 1, 0, 0, 0, 0, 0.196029, 0.366103, 0.424647
zevenyevenfreqs:, 2, 0.0555556, 0, 0, 0.0555556, 0.20301, 0.369587, 0.425199
zevenyevenfreqs:, 3, 0.111111, 0, 0, 0.111111, 0.222542, 0.379715, 0.426881
zevenyevenfreqs:, 4, 0.166667, 0, 0, 0.166667, 0.251419, 0.395357, 0.43008
zevenyevenfreqs:, 5, 0.222222, 0, 0, 0.222222, 0.286231, 0.413221, 0.437225
zevenyevenfreqs:, 6, 0.277778, 0, 0, 0.277778, 0.32386, 0.4257, 0.45539
zevenyevenfreqs:, 7, 0.333333, 0, 0, 0.333333, 0.360538, 0.434605, 0.483387
zevenyevenfreqs:, 8, 0.388889, 0, 0, 0.388889, 0.389343, 0.449202, 0.511082
zevenyevenfreqs:, 9, 0.444444, 0, 0, 0.444444, 0.403563, 0.472968, 0.515812
zevenyevenfreqs:, 10, 0.5, 0, 0, 0.5, 0.407135, 0.486899, 0.525484
