zevenyoddfreqs:, k index, k1, k2, k3, kmag/2pi, zevenyodd band 1, zevenyodd band 2, zevenyodd band 3
zevenyoddfreqs:, 1, 0, 0, 0, 0, 0, 0.213218, 0.327185
zevenyoddfreqs:, 2, 0.0555556, 0, 0, 0.0555556, 0.0524012, 0.216755, 0.33046
zevenyoddfreqs:, 3, 0.111111, 0, 0, 0.111111, 0.104034, 0.226893, 0.340345
zevenyoddfreqs:, 4, 0.166667, 0, 0, 0.166667, 0.153468, 0.24299, 0.356801
zevenyoddfreqs:, 5, 0.222222, 0, 0, 0.222222, 0.197294, 0.266357, 0.37863
zevenyoddfreqs:, 6, 0.277778, 0, 0, 0.277778, 0.230219, 0.30069, 0.384941
zevenyoddfreqs:, 7, 0.333333, 0, 0, 0.333333, 0.252346, 0.343983, 0.374921
zevenyoddfreqs:, 8, 0.388889, 0, 0, 0.388889, 0.268049, 0.360072, 0.396564
zevenyoddfreqs:, 9, 0.444444, 0, 0, 0.444444, 0.27872, 0.352219, 0.445094
zevenyoddfreqs:, 10, 0.5, 0, 0, 0.5, 0.282773, 0.348813, 0.484807
