zoddyevenfreqs:, k index, k1, k2, k3, kmag/2pi, zoddyeven band 1, zoddyeven band 2, zoddyeven band 3
zoddyevenfreqs:, 1, 0, 0, 0, 0, 0, 0.237945, 0.414207
zoddyevenfreqs:, 2, 0.0555556, 0, 0, 0.0555556, 0.0537349, 0.243587, 0.415188
zoddyevenfreqs:, 3, 0.111111, 0, 0, 0.111111, 0.107283, 0.259669, 0.418261
zoddyevenfreqs:, 4, 0.166667, 0, 0, 0.166667, 0.160388, 0.284094, 0.42369
zoddyevenfreqs:, 5, 0.222222, 0, 0, 0.222222, 0.212611, 0.314342, 0.431521
zoddyevenfreqs:, 6, 0.277778, 0, 0, 0.277778, 0.263066, 0.348082, 0.439349
zoddyevenfreqs:, 7, 0.333333, 0, 0, 0.333333, 0.309848, 0.38379, 0.438084
zoddyevenfreqs:, 8, 0.388889, 0, 0, 0.388889, 0.349484, 0.421218, 0.430164
zoddyevenfreqs:, 9, 0.444444, 0, 0, 0.444444, 0.378924, 0.4171, 0.464326
zoddyevenfreqs:, 10, 0.5, 0, 0, 0.5, 0.395696, 0.405813, 0.49361
