zoddyoddfreqs:, k index, k1, k2, k3, kmag/2pi, zoddyodd band 1, zoddyodd band 2, zoddyodd band 3
zoddyoddfreqs:, 1, 0, 0, 0, 0, 0.242868, 0.403544, 0.478389
zoddyoddfreqs:, 2, 0.0555556, 0, 0, 0.0555556, 0.24866, 0.405018, 0.477944
zoddyoddfreqs:, 3, 0.111111, 0, 0, 0.111111, 0.265177, 0.409333, 0.478479
zoddyoddfreqs:, 4, 0.166667, 0, 0, 0.166667, 0.290256, 0.416232, 0.480499
zoddyoddfreqs:, 5, 0.222222, 0, 0, 0.222222, 0.321159, 0.425516, 0.482901
zoddyoddfreqs:, 6, 0.277778, 0, 0, 0.277778, 0.354739, 0.437419, 0.483124
zoddyoddfreqs:, 7, 0.333333, 0, 0, 0.333333, 0.386698, 0.452514, 0.48096
zoddyoddfreqs:, 8, 0.388889, 0, 0, 0.388889, 0.411551, 0.462559, 0.489889
zoddyoddfreqs:, 9, 0.444444, 0, 0, 0.444444, 0.426997, 0.459502, 0.508449
zoddyoddfreqs:, 10, 0.5, 0, 0, 0.5, 0.432872, 0.456635, 0.511883
